"Stec ID","Trace ID"
"129732","P,T"
"129745","P,T"
"129746","P,T"
"129756","P,T"
"129886","P,T"
"131100","P,T"
"131101","P,T"
"131102","P,T"
"131103","P,T"
"131104","P,T"
"131728","P,T"
"131743","P,T"
"129665","P,T"
"129677","P,T"
"129680","P,T"
"129681","P,T"
"129682","P,T"
"129683","P,T"
"129699","P,T"
"129719","P,T"
"129733","P,T"
"129757","P,T"
"129758","P,T"
"129759","P,T"
"129840","P,T"
"129841","P,T"
"129842","P,T"
"130400","P,T"
"131059","P,T"
"131060","P,T"
"131061","P,T"
"131062","P,T"
"131741","P,T"
"131742","P,T"
"133256","P,T"
"129701","P,T"
"129702","P,T"
"129703","P,T"
"129704","P,T"
"129705","P,T"
"129706","P,T"
"129707","P,T"
"129708","P,T"
"129711","P,T"
"129712","P,T"
"129713","P,T"
"129714","P,T"
"129723","P,T"
"129731","P,T"
"129735","P,T"
"129740","P,T"
"129760","P,T"
"129761","P,T"
"129899","P,T"
"129900","P,T"
"130080","P,T"
"130081","P,T"
"130401","P,T"
"130419","P,T"
"130619","P,T"
"131063","P,T"
"131064","P,T"
"131065","P,T"
"131066","P,T"
"131541","P,T"
"129715","P,T"
"129720","P,T"
"129721","P,T"
"129722","P,T"
"129724","P,T"
"129725","P,T"
"129736","P,T"
"129775","P,T"
"129776","P,T"
"129777","P,T"
"129778","P,T"
"129843","P,T"
"129960","P,T"
"129961","P,T"
"130082","P,T"
"130100","P,T"
"130624","P,T"
"130625","P,T"
"131067","P,T"
"131068","P,T"
"131744","P,T"
"133257","P,T"
"129737","P,T"
"129738","P,T"
"129739","P,T"
"129747","P,T"
"129844","P,T"
"129845","P,T"
"129846","P,T"
"129859","P,T"
"129860","P,T"
"129861","P,T"
"129962","P,T"
"129963","P,T"
"130119","P,T"
"130120","P,T"
"130220","P,T"
"130402","P,T"
"130865","P,T"
"130866","P,T"
"130867","P,T"
"131069","P,T"
"131070","P,T"
"131071","P,T"
"131072","P,T"
"131073","P,T"
"131074","P,T"
"131542","P,T"
"130139","P,T"
"129768","P,T"
"129769","P,T"
"129770","P,T"
"129771","P,T"
"129772","P,T"
"129773","P,T"
"129774","P,T"
"129779","P,T"
"129780","P,T"
"129799","P,T"
"129819","P,T"
"129820","P,T"
"129862","P,T"
"129901","P,T"
"129919","P,T"
"129920","P,T"
"129981","P,T"
"129982","P,T"
"129999","P,T"
"130000","P,T"
"130001","P,T"
"130140","P,T"
"130320","P,T"
"130321","P,T"
"130340","P,T"
"130341","P,T"
"130359","P,T"
"130626","P,T"
"130627","P,T"
"130628","P,T"
"130639","P,T"
"130641","P,T"
"130642","P,T"
"130799","P,T"
"130879","P,T"
"130939","P,T"
"131075","P,T"
"131260","P,T"
"131580","P,T"
"131581","P,T"
"131601","P,T"
"129839","P,T"
"129882","P,T"
"129883","P,T"
"129887","P,T"
"129921","P,T"
"129922","P,T"
"129979","P,T"
"129980","P,T"
"130059","P,T"
"130099","P,T"
"130199","P,T"
"130200","P,T"
"130239","P,T"
"130299","P,T"
"130403","P,T"
"130459","P,T"
"130460","P,T"
"130461","P,T"
"130462","P,T"
"130599","P,T"
"130600","P,T"
"130643","P,T"
"130679","P,T"
"130800","P,T"
"131076","P,T"
"131077","P,T"
"131078","P,T"
"131239","P,T"
"131240","P,T"
"131241","P,T"
"131242","P,T"
"131243","P,T"
"131259","P,T"
"131582","P,T"
"131583","P,T"
"131584","P,T"
"131748","P,T"
"131749","P,T"
"131750","P,T"
"132223","P,T"
"130019","P,T"
"130039","P,T"
"130040","P,T"
"130179","P,T"
"130201","P,T"
"130259","P,T"
"130279","P,T"
"130280","P,T"
"130300","P,T"
"130301","P,T"
"130439","P,T"
"130440","P,T"
"130539","P,T"
"130559","P,T"
"130560","P,T"
"130561","P,T"
"130562","P,T"
"130629","P,T"
"130644","P,T"
"130859","P,T"
"130860","P,T"
"130880","P,T"
"130881","P,T"
"130882","P,T"
"131079","P,T"
"131080","P,T"
"131081","P,T"
"131360","P,T"
"131599","P,T"
"131600","P,T"
"131751","P,T"
"131752","P,T"
"132156","P,T"
"132442","P,T"
"130379","P,T"
"130380","P,T"
"130381","P,T"
"130382","P,T"
"130519","P,T"
"130520","P,T"
"130579","P,T"
"130580","P,T"
"130620","P,T"
"130621","P,T"
"130622","P,T"
"130623","P,T"
"130640","P,T"
"130659","P,T"
"130660","P,T"
"130699","P,T"
"130700","P,T"
"130759","P,T"
"130760","P,T"
"130761","P,T"
"130762","P,T"
"130801","P,T"
"130861","P,T"
"130862","P,T"
"130883","P,T"
"130884","P,T"
"130999","P,T"
"131127","P,T"
"131339","P,T"
"131659","P,T"
"131660","P,T"
"131819","P,T"
"131820","P,T"
"131919","P,T"
"132157","P,T"
"132318","P,T"
"132319","P,T"
"132379","P,T"
"132424","P,T"
"132425","P,T"
"132426","P,T"
"133096","P,T"
"133097","P,T"
"133098","P,T"
"133099","P,T"
"130499","P,T"
"130500","P,T"
"130501","P,T"
"130502","P,T"
"130503","P,T"
"130719","P,T"
"130720","P,T"
"130721","P,T"
"130722","P,T"
"130739","P,T"
"130740","P,T"
"130779","P,T"
"130780","P,T"
