"Stec ID","Destination","Throughput time","Trace length"
"129702","USA",0,2
"129703","Others",1,2
"129704","Others",1,2
"129705","Others",1,2
"129706","Others",1,2
"129707","Others",1,2
"129708","Others",1,2
"129709","USA",5,3
"129710","USA",3,2
"129711","USA",0,2
"129712","USA",0,2
"129713","Others",0,2
"129714","Others",0,2
"129715","USA",0,2
"129719","Others",0,2
"129720","Canada",0,2
"129721","Canada",0,2
"129722","USA",0,2
"129723","Others",1,2
"129724","USA",0,2
"129725","USA",0,2
"129726","Others",0,2
"129727","Others",0,2
"129728","USA",0,2
"129729","Others",0,2
"129730","Others",0,2
"129731","Others",0,2
"129732","Others",0,2
"129733","Others",0,2
"129735","Others",0,2
"129736","Others",0,2
"129737","Others",1,2
"129738","Others",1,2
"129739","Others",1,2
"129740","Others",0,2
"129745","Others",2,2
"129746","Others",2,2
"129747","USA",0,2
"129749","Others",31,3
"129753","Others",3,3
"129754","USA",0,2
"129755","USA",0,2
"129756","USA",0,2
"129757","USA",0,2
"129758","USA",0,2
"129759","USA",0,2
"129760","USA",0,2
"129761","USA",0,2
"129768","Others",1,2
"129769","Others",1,2
"129770","USA",0,2
"129771","USA",0,2
"129772","USA",0,2
"129773","USA",0,2
"129774","USA",0,2
"129775","Others",6,2
"129776","Others",6,2
"129777","Others",6,2
"129778","Others",6,2
"129779","Others",1,2
"129780","Others",1,2
"129799","USA",1,2
"129819","Others",2,2
"129820","Others",2,2
"129839","Others",7,2
"129840","USA",2,2
"129841","USA",2,2
"129842","USA",2,2
"129843","USA",2,2
"129844","Others",1,2
"129845","Others",1,2
"129846","USA",1,2
"129859","USA",1,2
"129860","USA",1,2
"129861","USA",1,2
"129862","USA",2,2
"129879","USA",0,2
"129880","USA",0,2
"129881","USA",0,2
"129882","Others",1,2
"129883","Others",1,2
"129884","USA",0,2
"129885","USA",0,2
"129886","USA",0,2
"129887","Others",1,2
"129899","USA",0,2
"129900","USA",0,2
"129901","USA",0,2
"129919","USA",0,2
"129920","USA",0,2
"129921","USA",0,2
"129922","USA",0,2
"129959","USA",1,3
"129960","Others",0,2
"129961","Others",0,2
"129962","Others",0,2
"129963","Others",0,2
"129979","Others",0,2
"129980","Others",0,2
"129981","USA",0,2
"129982","USA",0,2
"129999","USA",0,2
"130000","Others",0,2
"130001","Others",0,2
"130019","Others",1,2
"130039","Others",1,2
"130040","Others",1,2
"130059","Others",5,2
"130079","USA",1,2
"130080","USA",7,2
"130081","USA",7,2
"130082","USA",5,2
"130099","Others",1,2
"130100","Others",6,2
"130119","Others",0,2
"130120","Others",0,2
"130139","Others",0,2
"130140","Others",0,2
"130159","USA",0,2
"130179","Others",0,2
"130199","Others",0,2
"130200","Others",0,2
"130201","Others",0,2
"130202","USA",0,2
"130220","USA",0,2
"130239","USA",0,2
"130259","USA",0,2
"130279","USA",0,2
"130280","USA",0,2
"130299","USA",2,2
"130300","USA",2,2
"130301","USA",2,2
"130319","USA",17,2
"130320","USA",32,2
"130321","USA",32,2
"130340","Canada",32,2
"130341","Canada",32,2
"130359","Others",5,2
"130379","USA",0,2
"130380","USA",0,2
"130381","USA",0,2
"130382","USA",0,2
"130399","Others",8,3
"130400","Others",1,2
"130401","Others",1,2
"130402","Others",2,2
"130403","Others",1,2
"130419","Others",2,2
"130439","USA",0,2
"130440","USA",0,2
"130459","USA",1,2
"130460","USA",1,2
"130461","USA",1,2
"130462","USA",1,2
"130479","Others",5,3
"130499","USA",0,2
"130500","USA",0,2
"130501","USA",0,2
"130502","USA",0,2
"130503","USA",0,2
"130519","Others",1,2
"130520","Others",1,2
"130539","Others",4,2
"130559","Others",4,2
"130560","Others",4,2
"130561","Others",4,2
"130562","Others",4,2
"130579","Others",1,2
"130580","Others",1,2
"130599","Others",0,2
"130600","Others",0,2
"130619","USA",2,2
"130620","USA",0,2
"130621","USA",0,2
"130622","USA",0,2
"130623","USA",0,2
"130624","USA",2,2
"130625","USA",2,2
"130626","USA",2,2
"130627","USA",2,2
"130628","USA",2,2
"130629","Others",1,2
"130639","USA",2,2
"130640","Others",1,2
"130641","USA",2,2
"130642","USA",2,2
"130643","USA",2,2
"130644","USA",2,2
"130659","Others",1,2
"130660","Others",1,2
"130679","USA",1,2
"130699","USA",2,2
"130700","USA",2,2
"130719","Others",1,2
"130720","Others",1,2
"130721","Others",1,2
"130722","USA",1,2
"130739","Others",1,2
"130740","Others",1,2
"130759","USA",1,2
"130760","USA",1,2
"130761","USA",1,2
"130762","USA",1,2
"130779","USA",0,2
"130780","USA",0,2
"130799","USA",0,2
"130800","USA",0,2
"130801","USA",1,2
"130819","Others",0,2
"130820","Others",0,2
"130821","Others",0,2
"130822","Others",0,2
"130823","Others",0,2
"130824","Others",0,2
"130825","Others",0,2
"130826","Others",0,2
"130827","Others",0,2
"130828","Others",0,2
"130829","Others",0,2
"130830","Others",0,2
"130839","Others",1,2
"130840","Others",1,2
"130841","Others",1,2
"130842","Others",1,2
"130859","USA",0,2
"130860","USA",0,2
"130861","Others",0,2
"130862","Others",0,2
"130863","Others",0,2
"130864","Others",0,2
"130865","USA",3,2
"130866","Others",0,2
"130867","Others",0,2
"130879","Others",0,2
"130880","Others",0,2
"130881","Others",0,2
"130882","Others",0,2
"130883","Others",0,2
"130884","Others",0,2
"130885","Others",0,2
"130899","Others",0,2
"130900","Others",0,2
"130901","Others",1,2
"130902","Others",1,2
"130903","Others",1,2
"130904","USA",1,2
"130906","Others",1,2
"130919","Others",1,2
"130920","Others",1,2
"130921","Others",1,2
"130922","Others",1,2
"130939","Others",6,2
