"Stec ID","Activity","Start datetime","Destination","Status","Activity instance"
142043,"Test","2021-10-01","USA","Start",22095
142044,"Test","2021-10-01","USA","Start",22096
142045,"Test","2021-10-05","USA","Start",22097
142046,"Test","2021-09-01","USA","Start",22098
142047,"Test","2021-09-01","USA","Start",22099
142048,"Test","2021-09-01","USA","Start",22100
142049,"Test","2021-09-01","USA","Start",22101
142050,"Test","2021-09-01","USA","Start",22102
142051,"Test","2021-09-02","USA","Start",22103
142052,"Test","2021-09-02","USA","Start",22104
142053,"Test","2021-09-02","USA","Start",22105
142054,"Test","2021-09-03","USA","Start",22106
142055,"Test","2021-09-03","USA","Start",22107
142056,"Test","2021-09-03","USA","Start",22108
142057,"Test","2021-09-03","USA","Start",22109
142058,"Test","2021-09-03","USA","Start",22110
142059,"Test","2021-09-07","USA","Start",22111
142060,"Test","2021-09-07","USA","Start",22112
142061,"Test","2021-09-07","USA","Start",22113
142062,"Test","2021-09-07","USA","Start",22114
142063,"Test","2021-09-07","USA","Start",22115
142064,"Test","2021-09-07","USA","Start",22116
142065,"Test","2021-09-08","USA","Start",22117
142066,"Test","2021-09-08","USA","Start",22118
142067,"Test","2021-09-08","USA","Start",22119
142068,"Test","2021-09-08","USA","Start",22120
142069,"Test","2021-09-09","USA","Start",22121
142070,"Test","2021-09-09","USA","Start",22122
142071,"Test","2021-09-09","USA","Start",22123
142072,"Test","2021-09-10","USA","Start",22124
142073,"Test","2021-09-10","USA","Start",22125
142074,"Test","2021-09-15","USA","Start",22126
142075,"Test","2021-09-13","USA","Start",22127
142076,"Test","2021-09-13","USA","Start",22128
142077,"Test","2021-09-13","USA","Start",22129
142078,"Test","2021-09-14","USA","Start",22130
142079,"Test","2021-09-14","USA","Start",22131
142080,"Test","2021-09-14","USA","Start",22132
142081,"Test","2021-09-14","USA","Start",22133
142082,"Test","2021-09-15","USA","Start",22134
142083,"Test","2021-09-15","USA","Start",22135
142084,"Test","2021-09-16","USA","Start",22136
142085,"Test","2021-09-16","USA","Start",22137
142086,"Test","2021-09-16","USA","Start",22138
142087,"Test","2021-09-16","USA","Start",22139
142088,"Test","2021-09-16","USA","Start",22140
142089,"Test","2021-09-20","USA","Start",22141
142090,"Test","2021-09-20","USA","Start",22142
142091,"Test","2021-09-20","USA","Start",22143
142092,"Test","2021-09-20","USA","Start",22144
142093,"Test","2021-09-21","USA","Start",22145
142094,"Test","2021-09-21","USA","Start",22146
142095,"Test","2021-09-21","USA","Start",22147
142096,"Test","2021-09-22","USA","Start",22148
142097,"Test","2021-09-22","USA","Start",22149
142098,"Test","2021-09-22","USA","Start",22150
142099,"Test","2021-09-23","USA","Start",22151
142100,"Test","2021-09-23","USA","Start",22152
142101,"Test","2021-09-23","USA","Start",22153
142102,"Test","2021-09-23","USA","Start",22154
142103,"Test","2021-09-23","USA","Start",22155
142104,"Test","2021-09-27","USA","Start",22156
142105,"Test","2021-09-27","USA","Start",22157
142106,"Test","2021-09-27","USA","Start",22158
142107,"Test","2021-09-27","USA","Start",22159
142108,"Test","2021-09-27","USA","Start",22160
142109,"Test","2021-09-28","USA","Start",22161
142110,"Test","2021-09-29","USA","Start",22162
142111,"Test","2021-09-29","USA","Start",22163
142112,"Test","2021-09-29","USA","Start",22164
142113,"Test","2021-09-29","USA","Start",22165
142114,"Test","2021-09-30","USA","Start",22166
142115,"Test","2021-09-30","USA","Start",22167
142116,"Test","2021-09-30","USA","Start",22168
142117,"Test","2021-09-30","USA","Start",22169
142118,"Test","2021-09-30","USA","Start",22170
142119,"Test","2021-09-23","Others","Start",22171
142120,"Test","2021-09-29","Others","Start",22172
142121,"Test","2021-09-29","Others","Start",22173
142122,"Test","2021-10-05","Others","Start",22174
142123,"Test","2021-10-05","USA","Start",22175
142124,"Test","2021-10-06","Others","Start",22176
142141,"Test","2021-10-09","Others","Start",22177
142142,"Test","2021-10-10","Others","Start",22178
142143,"Test","2021-10-12","Others","Start",22179
142144,"Test","2021-10-12","Others","Start",22180
142145,"Test","2021-10-10","Others","Start",22181
142146,"Test","2021-10-10","Others","Start",22182
142147,"Test","2021-10-08","USA","Start",22183
142148,"Test","2021-10-08","USA","Start",22184
142149,"Test","2021-10-08","USA","Start",22185
142150,"Test","2021-10-08","USA","Start",22186
142151,"Test","2021-10-08","USA","Start",22187
142152,"Test","2021-10-08","USA","Start",22188
142153,"Test","2021-10-08","USA","Start",22189
142154,"Test","2021-10-08","USA","Start",22190
142155,"Test","2021-10-08","USA","Start",22191
142157,"Test","2021-10-08","Others","Start",22192
142158,"Test","2021-10-08","Others","Start",22193
142159,"Test","2021-10-08","Others","Start",22194
142160,"Test","2021-10-08","Others","Start",22195
142161,"Test","2021-10-08","Others","Start",22196
